"Year" "Electricity" "SO2" "NOX" "CapStock" "Employees" "HC_Coal" "HC_Oil" "HC_Gas" "Phase1"
"1" 1985 1100.41907453425 14426.1905753425 4727.87161643835 107174127494.64 20115 3282944.45438168 8641.57945226578 2636.86689389589 0
"2" 1986 1094.23934788219 14200.2380821918 4704.08293150685 108909298435.263 20135 3286174.19144747 7456.04568686362 3108.08419054521 0
"3" 1987 1087.40791591233 13935.4451780822 4597.89619178082 109896914303.087 20146 3241988.67952785 7496.03818157696 3802.37143666849 0
"4" 1988 1115.92137190137 14047.0837534247 4769.21082191781 110316058119.509 19893 3334443.44416466 7492.85971313316 3214.82847444658 0
"5" 1989 1155.36423106849 15019.2670410959 4982.99556164384 112318389596.631 19777 3451890.36906053 7410.26346807945 3865.25606876712 0
"6" 1990 1150.05070745205 14880.5189863014 4837.72230136986 113125795892.978 19432 3421868.73657383 6991.78998366596 5124.46705421918 92
"7" 1991 1116.23965780822 14454.004 4649.42876712329 116246252795.321 19247 3338677.19328335 7763.54595664902 5523.88204028219 92
"8" 1992 1140.15911950685 14550.7870684931 4636.81484931507 117514501648.051 18670 3377105.95495974 6433.05917652283 5357.54827489315 92
"9" 1993 1158.48396025205 13908.9281917808 4642.26852054794 118628823062.309 18513 3432339.45754719 7188.7402269251 5451.82793037535 92
"10" 1994 1135.35114168219 13402.3907945205 4330.12964383562 120675392454.973 17876 3370806.60672861 8051.08380674271 5721.43771702192 92
"11" 1995 1181.26105623288 10270.0198630137 4409.45131506849 121881607486.915 17040 3467173.44765505 6759.93602790217 5651.72439333699 92
